"","group","LFC","n","Destination"
"1","OC-RC","Down",-156,"Control"
"2","OC-RC","Up",6119,"Control"
"3","LC-RC","Down",-129,"Control"
"4","LC-RC","Up",5974,"Control"
"5","LO-RO","Down",-201,"Ojo"
"6","LO-RO","Up",6003,"Ojo"
"7","OO-RO","Down",-233,"Ojo"
"8","OO-RO","Up",6139,"Ojo"
"9","RO-RC","Down",-9,"Ojo vs. Control"
"10","RO-RC","Up",23,"Ojo vs. Control"
