"","DEG","up.results_RO_RC_padj.1","down.results_RO_RC_padj.1"
"1","Down",NA,"Cladocopium_Davies_comp225146_c0_seq1_Symbiont"
"2","Up","Cladocopium_Davies_comp198150_c0_seq1_Symbiont",NA
"3","Up","Cladocopium_Davies_comp245479_c0_seq10_Symbiont",NA
"4","Up","Cladocopium_Davies_comp247798_c0_seq13_Symbiont",NA
"5","Up","Cladocopium_Davies_comp256750_c3_seq3_Symbiont",NA
"6","Up","Cladocopium_Davies_comp258091_c1_seq5_Symbiont",NA
"7","Up","Cladocopium_Davies_comp259912_c1_seq16_Symbiont",NA
"8","Up","Cladocopium_Davies_comp261670_c0_seq2_Symbiont",NA
"9","Up","Cladocopium_Davies_comp263292_c0_seq1_Symbiont",NA
