"","DEG","up.results_OC_RC_padj.1","down.results_OC_RC_padj.1"
"80","Down",NA,"Cladocopium_Davies_comp113893_c0_seq1_Symbiont"
"81","Down",NA,"Cladocopium_Davies_comp113895_c0_seq2_Symbiont"
"82","Down",NA,"Cladocopium_Davies_comp113902_c0_seq1_Symbiont"
"83","Down",NA,"Cladocopium_Davies_comp113903_c0_seq1_Symbiont"
"84","Down",NA,"Cladocopium_Davies_comp113905_c0_seq1_Symbiont"
"85","Down",NA,"Cladocopium_Davies_comp113908_c0_seq1_Symbiont"
"86","Down",NA,"Cladocopium_Davies_comp113923_c0_seq1_Symbiont"
"87","Down",NA,"Cladocopium_Davies_comp113924_c0_seq1_Symbiont"
"88","Down",NA,"Cladocopium_Davies_comp113927_c0_seq1_Symbiont"
"89","Down",NA,"Cladocopium_Davies_comp113928_c0_seq1_Symbiont"
"90","Down",NA,"Cladocopium_Davies_comp113930_c0_seq2_Symbiont"
"91","Down",NA,"Cladocopium_Davies_comp113931_c0_seq1_Symbiont"
"92","Down",NA,"Cladocopium_Davies_comp113945_c0_seq2_Symbiont"
"93","Down",NA,"Cladocopium_Davies_comp113957_c0_seq1_Symbiont"
"94","Down",NA,"Cladocopium_Davies_comp113958_c0_seq1_Symbiont"
"95","Down",NA,"Cladocopium_Davies_comp113959_c0_seq1_Symbiont"
"96","Down",NA,"Cladocopium_Davies_comp113963_c0_seq1_Symbiont"
"97","Down",NA,"Cladocopium_Davies_comp113966_c0_seq1_Symbiont"
"98","Down",NA,"Cladocopium_Davies_comp113969_c0_seq1_Symbiont"
"99","Down",NA,"Cladocopium_Davies_comp113974_c0_seq1_Symbiont"
"100","Down",NA,"Cladocopium_Davies_comp113976_c0_seq1_Symbiont"
"101","Down",NA,"Cladocopium_Davies_comp113980_c0_seq1_Symbiont"
"102","Down",NA,"Cladocopium_Davies_comp113984_c0_seq1_Symbiont"
"103","Down",NA,"Cladocopium_Davies_comp113991_c0_seq1_Symbiont"
"104","Down",NA,"Cladocopium_Davies_comp113992_c0_seq1_Symbiont"
"105","Down",NA,"Cladocopium_Davies_comp113996_c1_seq1_Symbiont"
"106","Down",NA,"Cladocopium_Davies_comp114015_c0_seq1_Symbiont"
"107","Down",NA,"Cladocopium_Davies_comp114035_c0_seq1_Symbiont"
"108","Down",NA,"Cladocopium_Davies_comp114049_c0_seq1_Symbiont"
"109","Down",NA,"Cladocopium_Davies_comp114061_c0_seq1_Symbiont"
"110","Down",NA,"Cladocopium_Davies_comp114080_c0_seq1_Symbiont"
"111","Down",NA,"Cladocopium_Davies_comp114082_c0_seq1_Symbiont"
"112","Down",NA,"Cladocopium_Davies_comp114083_c0_seq1_Symbiont"
"113","Down",NA,"Cladocopium_Davies_comp114098_c0_seq1_Symbiont"
"114","Down",NA,"Cladocopium_Davies_comp114103_c0_seq1_Symbiont"
"115","Down",NA,"Cladocopium_Davies_comp114113_c0_seq1_Symbiont"
"116","Down",NA,"Cladocopium_Davies_comp114120_c0_seq1_Symbiont"
"117","Down",NA,"Cladocopium_Davies_comp114122_c0_seq1_Symbiont"
"118","Down",NA,"Cladocopium_Davies_comp114128_c0_seq2_Symbiont"
"119","Down",NA,"Cladocopium_Davies_comp114136_c0_seq1_Symbiont"
"120","Down",NA,"Cladocopium_Davies_comp114137_c0_seq1_Symbiont"
"121","Down",NA,"Cladocopium_Davies_comp114143_c0_seq1_Symbiont"
"122","Down",NA,"Cladocopium_Davies_comp114151_c0_seq1_Symbiont"
"123","Down",NA,"Cladocopium_Davies_comp114152_c0_seq1_Symbiont"
"124","Down",NA,"Cladocopium_Davies_comp114159_c0_seq1_Symbiont"
"125","Down",NA,"Cladocopium_Davies_comp114162_c0_seq1_Symbiont"
"126","Down",NA,"Cladocopium_Davies_comp114168_c0_seq1_Symbiont"
"127","Down",NA,"Cladocopium_Davies_comp114169_c0_seq1_Symbiont"
"128","Down",NA,"Cladocopium_Davies_comp114171_c0_seq1_Symbiont"
"129","Down",NA,"Cladocopium_Davies_comp114172_c0_seq1_Symbiont"
"130","Down",NA,"Cladocopium_Davies_comp114180_c0_seq1_Symbiont"
"131","Down",NA,"Cladocopium_Davies_comp114182_c0_seq1_Symbiont"
"132","Down",NA,"Cladocopium_Davies_comp114186_c0_seq1_Symbiont"
"133","Down",NA,"Cladocopium_Davies_comp114189_c0_seq1_Symbiont"
"134","Down",NA,"Cladocopium_Davies_comp114192_c0_seq2_Symbiont"
"135","Down",NA,"Cladocopium_Davies_comp114193_c0_seq2_Symbiont"
"136","Down",NA,"Cladocopium_Davies_comp114196_c0_seq1_Symbiont"
"137","Down",NA,"Cladocopium_Davies_comp114199_c0_seq1_Symbiont"
"138","Down",NA,"Cladocopium_Davies_comp114200_c0_seq1_Symbiont"
"139","Down",NA,"Cladocopium_Davies_comp114204_c0_seq1_Symbiont"
"140","Down",NA,"Cladocopium_Davies_comp114207_c0_seq1_Symbiont"
"141","Down",NA,"Cladocopium_Davies_comp114220_c0_seq1_Symbiont"
"142","Down",NA,"Cladocopium_Davies_comp114224_c0_seq1_Symbiont"
"143","Down",NA,"Cladocopium_Davies_comp114229_c1_seq1_Symbiont"
"144","Down",NA,"Cladocopium_Davies_comp114245_c0_seq1_Symbiont"
"145","Down",NA,"Cladocopium_Davies_comp114248_c0_seq1_Symbiont"
"146","Down",NA,"Cladocopium_Davies_comp114271_c0_seq1_Symbiont"
