Filename	Total#Reads	NumContigsMatched	NumUnaligned	NumAligned	NumMultiAligned	NumSingleAligned	NumQualSingles	PropQualAligned
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PO_345_N_Sid_yr2_R1_nof_hybridref.sam	32182195	44237	7800714	24381481	21213570	3167911	24336165	0.756
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PO_347_La_Sid_yr2_R1_nof_hybridref.sam	52382596	40323	11425921	40956675	35727013	5229662	40902727	0.781
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/PO_348_N_Sid_yr2_R1_nof_hybridref.sam	46362505	35756	11207732	35154773	30612820	4541953	35108594	0.757
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_003_C_Sid_yr2_R1_nof_hybridref.sam	25977634	34348	6088917	19888717	17169400	2719317	19847802	0.764
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_004_La_Sid_yr2_R1_nof_hybridref.sam	40423461	43035	9709547	30713914	26367822	4346092	30661106	0.758
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_005_N_Sid_yr2_R1_nof_hybridref.sam	37145174	43858	8762851	28382323	24535103	3847220	28331941	0.763
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_009_C_Sid_yr2_R1_nof_hybridref.sam	37015594	40435	9285888	27729706	23508532	4221174	27684848	0.748
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_010_La_Sid_yr2_R1_nof_hybridref.sam	37615395	41202	9299266	28316129	24500954	3815175	28265444	0.751
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_011_N_Sid_yr2_R1_nof_hybridref.sam	33816701	39007	7844369	25972332	22533572	3438760	25920309	0.766
/cm/shared/courses/dbarshis/barshislab/VRad/taxons/Siderastrea_siderea/mapped_hybridref/R_012_C_Sid_yr2_R1_nof_hybridref.sam	30500095	63703	9467497	21032598	17219879	3812719	20985472	0.688
