"","DEG","up.results_OO_RC_padj.1","down.results_OO_RC_padj.1"
"80","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02502"
"81","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02518"
"82","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02558"
"83","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02643"
"84","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02655"
"85","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02659"
"86","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02667"
"87","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02800"
"88","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02827"
"89","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02835"
"90","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02840"
"91","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02878"
"92","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig02925"
"93","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03106"
"94","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03107"
"95","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03122"
"96","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03123"
"97","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03146"
"98","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03154"
"99","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03157"
"100","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03190"
"101","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03237"
"102","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03263"
"103","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03325"
"104","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03371"
"105","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03397"
"106","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03399"
"107","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03459"
"108","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03487"
"109","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03534"
"110","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03546"
"111","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03559"
"112","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03582"
"113","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03589"
"114","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03601"
"115","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03604"
"116","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03633"
"117","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03655"
"118","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03659"
"119","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03675"
"120","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03694"
"121","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03754"
"122","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03765"
"123","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03784"
"124","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03786"
"125","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03949"
"126","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03994"
"127","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04029"
"128","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04083"
"129","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04122"
"130","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04159"
"131","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04192"
"132","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04206"
"133","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04257"
"134","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04263"
"135","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04272"
"136","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04290"
"137","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04351"
"138","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04389"
"139","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04398"
"140","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04408"
"141","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04428"
"142","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04439"
"143","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04496"
"144","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04507"
"145","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04510"
"146","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04563"
"147","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04569"
"148","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04615"
"149","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04624"
"150","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04630"
"151","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04634"
"152","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04660"
"153","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04695"
"154","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04706"
"155","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04735"
"156","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04742"
"157","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04756"
"158","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04763"
"159","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04769"
"160","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04774"
"161","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04878"
"162","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04887"
"163","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04898"
"164","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04922"
"165","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04924"
"166","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04960"
"167","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04975"
"168","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05002"
"169","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05052"
"170","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05053"
"171","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05074"
"172","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05075"
"173","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05077"
"174","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05085"
"175","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05126"
"176","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05131"
"177","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05141"
