ContigName,PC_349_C_Sid_yr2,PC_350_La_Sid_yr2,PC_361_N_Sid_yr2,PC_362_C_Sid_yr2,PC_363_La_Sid_yr2,PC_364_N_Sid_yr2,PC_365_C_Sid_yr2,PC_366_La_Sid_yr2,PC_368_C_Sid_yr2,PC_370_N_Sid_yr2,PC_371_C_Sid_yr2,PC_372_La_Sid_yr2,PC_373_N_Sid_yr2,PC_374_C_Sid_yr2,PC_375_La_Sid_yr2,PC_376_N_Sid_yr2,PO_331_C_Sid_yr2,PO_332_La_Sid_yr2,PO_333_N_Sid_yr2,PO_334_C_Sid_yr2,PO_335_La_Sid_yr2,PO_336_N_Sid_yr2,PO_337_C_Sid_yr2,PO_338_La_Sid_yr2,PO_339_N_Sid_yr2,PO_340_C_Sid_yr2,PO_341_La_Sid_yr2,PO_342_N_Sid_yr2,PO_343_C_Sid_yr2,PO_344_La_Sid_yr2,PO_345_N_Sid_yr2,PO_347_La_Sid_yr2,PO_348_N_Sid_yr2,R_003_C_Sid_yr2,R_004_La_Sid_yr2,R_005_N_Sid_yr2,R_009_C_Sid_yr2,R_010_La_Sid_yr2,R_011_N_Sid_yr2,R_012_C_Sid_yr2,R_013_La_Sid_yr2,R_014_N_Sid_yr2,R_015_C_Sid_yr2,R_017_N_Sid_yr2,R_018_C_Sid_yr2,R_019_La_Sid_yr2,R_020_N_Sid_yr2,R_021_C_Sid_yr2,R_022_La_Sid_yr2,R_024_C_Sid_yr2,R_025_La_Sid_yr2,R_026_N_Sid_yr2,R_027_C_Sid_yr2,R_029_N_Sid_yr2,R_030_C_Sid_yr2,R_031_La_Sid_yr2
Siderastrea_Mexico_Barshis-Radice_Host_contig06998,2,1,1,3,4,3,9,6,7,1,1,5,0,2,3,0,0,4,0,4,1,0,18,0,1,4,5,0,2,3,3,7,13,3,1,3,7,7,5,8,2,0,3,0,0,3,0,2,8,0,17,0,1,0,3,2
Siderastrea_Mexico_Barshis-Radice_Host_contig06999,0,0,0,0,1,2,2,2,2,0,3,1,0,2,0,0,0,0,0,1,0,0,2,0,0,3,0,0,1,2,0,0,0,1,1,1,1,0,1,1,6,1,1,1,0,0,2,1,4,0,15,0,1,0,0,5
Siderastrea_Mexico_Barshis-Radice_Host_contig07000,8,1,1,7,0,1,1,1,6,3,2,7,0,0,5,0,1,5,0,5,2,0,2,2,2,5,10,3,6,0,1,1,1,1,2,2,8,5,1,5,19,0,0,3,0,4,5,2,5,0,22,0,6,11,2,13
Siderastrea_Mexico_Barshis-Radice_Host_contig07001,0,0,0,0,2,3,0,1,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,1,0,0,0,1,3,0,1,6,0,1,2,1,3,0,6,0,0,16,1,1
Siderastrea_Mexico_Barshis-Radice_Host_contig07002,3,0,1,3,0,4,4,4,6,0,2,9,0,3,3,0,1,3,1,9,1,0,7,2,0,4,1,0,4,1,9,17,13,0,8,8,5,7,5,10,18,0,3,5,0,7,3,3,1,0,38,0,7,11,10,8
Siderastrea_Mexico_Barshis-Radice_Host_contig07003,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,6,0,0,3,3,0,0,1,9,56,0,1,28,0,0,7,0,7,0,75,0,0,9,0,26
Siderastrea_Mexico_Barshis-Radice_Host_contig07004,0,0,0,0,1,2,2,0,2,0,1,2,0,0,0,0,1,1,0,4,2,0,0,1,2,0,3,0,0,2,0,0,1,1,3,3,5,5,3,8,14,0,1,4,0,0,0,0,1,0,16,0,2,0,2,5
Siderastrea_Mexico_Barshis-Radice_Host_contig07005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siderastrea_Mexico_Barshis-Radice_Host_contig07006,3,0,1,2,1,4,5,2,0,0,2,4,0,0,0,0,0,3,0,3,1,0,1,0,0,0,0,0,1,0,3,0,4,2,1,0,1,0,5,11,4,0,4,4,0,0,6,6,9,2,43,0,2,0,10,4
Siderastrea_Mexico_Barshis-Radice_Host_contig07007,5,4,3,2,2,12,5,3,7,0,3,7,0,3,5,0,2,7,1,6,3,0,7,0,3,1,6,2,1,6,2,1,9,6,8,6,7,5,4,4,9,0,6,1,0,2,7,2,8,11,31,0,5,1,4,5
Siderastrea_Mexico_Barshis-Radice_Host_contig07008,4,0,0,2,2,4,3,6,4,2,6,5,0,0,8,0,2,1,1,10,0,0,21,1,1,5,5,8,8,5,5,23,2,0,6,8,5,4,4,7,4,0,3,4,0,4,2,0,7,0,20,0,1,5,3,0
Siderastrea_Mexico_Barshis-Radice_Host_contig07009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siderastrea_Mexico_Barshis-Radice_Host_contig07010,9,0,5,10,3,7,11,13,16,2,23,18,0,4,11,0,4,6,1,23,3,0,20,3,2,11,11,2,9,11,6,33,19,8,19,15,13,14,3,15,26,0,17,10,2,10,7,6,18,0,40,0,10,5,18,18
Siderastrea_Mexico_Barshis-Radice_Host_contig07011,2,0,1,1,0,1,2,0,1,7,2,1,0,0,0,0,1,0,1,3,0,0,8,1,3,1,1,1,1,1,10,0,4,2,3,8,1,2,0,3,18,0,3,5,0,3,5,1,6,0,34,0,1,17,9,15
Siderastrea_Mexico_Barshis-Radice_Host_contig07012,1,0,0,0,0,1,1,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,6,3,0,1,0,1,4,15,2,0,0,8,0,1,0,3,0,0,9,0,0,10,0,3
Siderastrea_Mexico_Barshis-Radice_Host_contig07013,1,0,1,1,2,6,5,2,3,0,6,2,0,1,0,0,2,3,0,5,1,0,8,0,0,1,5,3,0,0,0,1,2,1,2,1,3,1,0,3,5,0,5,3,0,2,1,3,9,94,13,0,2,0,6,2
Siderastrea_Mexico_Barshis-Radice_Host_contig07014,10,5,4,5,5,20,17,16,18,0,30,18,0,22,17,1,2,9,1,12,2,1,19,4,3,20,3,9,10,4,14,3,0,6,20,15,26,5,13,26,110,4,19,25,1,11,19,6,13,43,140,0,14,15,22,26
Siderastrea_Mexico_Barshis-Radice_Host_contig07015,0,0,0,0,0,1,0,1,1,0,0,2,0,3,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,4,0,0,0,3,3,0,0,7,0,1,0,1,2,0,25,0,0,0,2,6
Siderastrea_Mexico_Barshis-Radice_Host_contig07016,1,1,1,4,0,2,4,3,7,3,7,3,0,0,1,0,2,3,0,8,1,0,8,1,1,1,4,4,8,0,1,2,6,2,4,6,5,0,1,8,9,0,11,7,0,5,1,5,7,0,4,0,3,11,8,5
Siderastrea_Mexico_Barshis-Radice_Host_contig07017,3,1,0,1,0,4,3,4,4,1,9,3,0,1,8,0,0,3,1,4,0,0,3,0,1,7,3,1,1,8,1,1,0,1,3,1,10,2,7,8,38,0,10,6,0,7,2,4,3,0,99,0,4,5,9,15
Siderastrea_Mexico_Barshis-Radice_Host_contig07018,2,3,4,0,4,2,4,8,7,0,1,0,0,3,2,0,3,0,0,5,3,0,3,0,2,0,2,1,4,1,1,0,0,1,4,2,5,1,0,13,13,0,0,14,0,0,7,4,1,0,32,0,1,16,1,9
Siderastrea_Mexico_Barshis-Radice_Host_contig07019,1,0,0,0,1,2,0,1,1,5,1,1,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,4,0,1,2,0,0,0,0,0,0,22,0,3,0,0,1
Siderastrea_Mexico_Barshis-Radice_Host_contig07020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,3,0,1,1,0,0,2,0,0,0,4,0,0,0,0,0
