"","DEG","up.results_OC_RC_padj.1","down.results_OC_RC_padj.1"
"80","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03123"
"81","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03146"
"82","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03157"
"83","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03158"
"84","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03190"
"85","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03237"
"86","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03263"
"87","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03325"
"88","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03371"
"89","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03397"
"90","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03399"
"91","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03459"
"92","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03487"
"93","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03498"
"94","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03546"
"95","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03559"
"96","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03582"
"97","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03589"
"98","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03604"
"99","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03655"
"100","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03659"
"101","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03675"
"102","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03754"
"103","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03994"
"104","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04007"
"105","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04029"
"106","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04141"
"107","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04159"
"108","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04192"
"109","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04218"
"110","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04257"
"111","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04263"
"112","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04272"
"113","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04290"
"114","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04301"
"115","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04351"
"116","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04389"
"117","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04398"
"118","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04408"
"119","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04428"
"120","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04507"
"121","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04550"
"122","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04563"
"123","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04615"
"124","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04630"
"125","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04634"
"126","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04706"
"127","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04728"
"128","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04742"
"129","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04756"
"130","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04763"
"131","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04769"
"132","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04774"
"133","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04878"
"134","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04887"
"135","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04898"
"136","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04924"
"137","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04957"
"138","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04975"
"139","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig04992"
"140","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05002"
"141","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05052"
"142","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05074"
"143","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05075"
"144","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05077"
"145","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05097"
"146","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05126"
"147","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05141"
"148","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05172"
"149","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05194"
"150","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05233"
"151","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05286"
"152","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05340"
"153","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05350"
"154","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05371"
"155","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05413"
"156","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05464"
"157","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05505"
"158","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05532"
"159","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05550"
"160","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05599"
"161","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05653"
"162","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05722"
"163","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05763"
"164","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05813"
"165","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05835"
"166","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05840"
"167","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05906"
"168","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05927"
"169","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05954"
"170","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05957"
"171","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig05968"
"172","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06032"
"173","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06035"
"174","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06068"
"175","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06098"
"176","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06116"
"177","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06127"
"178","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06155"
"179","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06304"
"180","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06346"
"181","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06355"
"182","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06358"
"183","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06379"
"184","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06386"
"185","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06393"
"186","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06624"
"187","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06631"
"188","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06636"
"189","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06723"
"190","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06745"
"191","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06791"
"192","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06800"
"193","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06808"
"194","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06853"
"195","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06900"
"196","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig06961"
"197","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07153"
