"","DEG","up.results_OO_RO_padj.1","down.results_OO_RO_padj.1"
"80","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03098"
"81","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03106"
"82","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03122"
"83","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03123"
"84","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03132"
"85","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03146"
"86","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03148"
"87","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03157"
"88","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03177"
"89","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03180"
"90","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03190"
"91","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03198"
"92","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03263"
"93","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03330"
"94","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03332"
"95","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03371"
"96","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03414"
"97","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03415"
"98","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03459"
"99","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03461"
"100","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03519"
"101","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03559"
"102","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03577"
"103","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03582"
"104","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03590"
"105","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03604"
"106","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03620"
"107","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03655"
"108","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03677"
"109","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03721"
"110","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03754"
"111","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03765"
"112","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03786"
"113","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03794"
"114","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03825"
"115","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03929"
"116","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig03976"
