Sample_ID,id,species,origin,transplant,RTEtime_months,status.survival,extension_mm,density_g.cm3,tissue.vol_ml,tissue.area_cm2,chla.conc_ug.ml,zoox.conc_cell.ml,prot.conc_mg.ml,zoox.cells.cm2,chla.ug.cm2,chla.ug.cell,chla.10.6.ug.cm2,protein.mg.cm2,zoox.10.6.cells.cm2,Origin_code,Origin_name,Origin_type,treatment_Origin-Dest,Destination_code,Destination_type,Destination_name,pH_Destination,transplant.position,Colony_ID,coral.collection.date_YYYY-MM-DD,RTE.deployment.date_YYYY-MM-DD,sampling.date.RNAlater_year2_YYYY-MM-DD,RNA-seq
R_025_La_Sid_yr2,25,Siderastrea,Reef,Ojo,24,0,2.9,,5,1.30073214,2.86004,850000,0.057,3267390.625,10.99,3.36475E-06,3.36,0.22,3.27,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L47,678,15/12/12,17/12/12,15/1/15,Yes
R_026_N_Sid_yr2,26,,,,,,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,N,ojo,Ojo.Norte,Low,N24,678,15/12/12,18/12/12,14/1/15,Yes
R_027_C_Sid_yr2,27,Siderastrea,Reef,Control,24,0,8,1.637389034,5,21.8759432,10.1902,3500000,0.292,799965.5073,2.33,2.91149E-06,2.91,0.07,0.80,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C35,686,15/12/12,17/12/12,15/1/15,Yes
R_029_N_Sid_yr2,29,,,,,,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,N,ojo,Ojo.Norte,Low,N17,686,15/12/12,18/12/12,14/1/15,Yes
R_030_C_Sid_yr2,30,Siderastrea,Reef,Control,24,0,8.9,1.63141955,10,14.6774792,19.19552,5210000,0.815,3549655.856,13.08,3.68436E-06,3.68,0.56,3.55,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C46,472,15/12/12,17/12/12,15/1/15,Yes
R_031_La_Sid_yr2,31,Siderastrea,Reef,Ojo,24,0,4.7,,14,,7.4822,1250000,0.864,,,5.98576E-06,5.99,,,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L23,472,15/12/12,17/12/12,15/1/15,Yes
R_033_C_Pp_yr2,33,Porites porites,Reef,Control,24,0,,,10,,10.54924,1866667,0.377,,,5.65138E-06,5.65,,,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C55,454,15/12/12,17/12/12,15/1/15,Yes
R_036_C_Pp_yr2,36,Porites porites,Reef,Control,24,0,34.3,1.647635596,20,5.6946536,17.7044,5016667,0.762,17618866.23,62.18,3.52912E-06,3.53,2.68,17.62,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C13,610,15/12/12,17/12/12,15/1/15,Yes
R_045_C_Pp_yr2,45,Porites porites,Reef,Control,24,0,39.1,1.722061192,5,,6.49684,,,,,,,,,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C18,144,15/12/12,17/12/12,15/1/15,Yes
R_048_C_Pp_yr2,48,Porites porites,Reef,Control,24,0,18.7,1.339451982,11,4.32510503,10.30276,3966667,0.527,10088387.84,26.20,2.59733E-06,2.60,1.34,10.09,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C5,199,15/12/12,17/12/12,15/1/15,Yes
R_049_La_Pp_yr2,49,Porites porites,Reef,Ojo,24,0,11.4,1.28680935,10,,20.90908,2733333,0.433,,,7.64966E-06,7.65,,,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L55,199,15/12/12,17/12/12,15/1/15,Yes
R_051_C_Pp_yr2,51,Porites porites,Reef,Control,24,0,26.1,1.652942277,7,5.8494728,2.30948,983333,0.202,1176743.826,2.76,2.34862E-06,2.35,0.24,1.18,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C53,124,15/12/12,17/12/12,15/1/15,Yes
R_052_La_Pp_yr2,52,Porites porites,Reef,Ojo,24,1,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L11,124,15/12/12,17/12/12,15/1/15,Yes
R_054_C_Pp_yr2,54,Porites porites,Reef,Control,24,0,15.9,1.720439049,,,,4133333,,,,,,,,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C20,97,15/12/12,17/12/12,15/1/15,Yes
R_057_C_Pp_yr2,57,Porites porites,Reef,Control,24,0,17.7,1.715022936,40,20.4124944,49.56816,7300000,1.039,14304964.12,97.13,6.79016E-06,6.79,2.04,14.30,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C29,666,15/12/12,17/12/12,15/1/15,Yes
R_058_La_Pp_yr2,58,Porites porites,Reef,Ojo,24,0,10.2,1.204991087,5,0.3337344,18.90208,2000000,0.143,29963947.38,283.19,9.45104E-06,9.45,2.14,29.96,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L38,666,15/12/12,17/12/12,15/1/15,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
